English,Chinese
ability,(n.) 能力；才能，才智
acquisition,(n.) ［公司等］收購；獲得(物)；獲得
affiliated,(adj) 附屬的；隸屬的
allocate,(v.) 分派；分配
allocation,(n.) 分派；分配
allowance,(n.) 定期補貼，津貼；定量；限額
alternate,(n.) 輪流，交替；(adj.) 輪流的；交替的
alternative,(n.) (adj.) 代用方案；（計劃或方法）替代方案；可替代的
alumnus (sl.) -> alumni (pl.),(n.) 校友
arrange,(v.) 安排；準備；籌劃
arrangement,(n.) 安排；籌劃；準備（工作）；商定；約定
aspect,(n.) 方面；層面
assist,(v.) 幫助；協助；援助
assistance,(n.) 幫助；協助；援助
association,(n.) 協會；社團；聯盟
attribute,(n.) (v.) 特性；特質；屬性
authority,(n.) 威信；權力；管轄權
authorize,(v.) 批准，准許；授權，委託
belongings,(n.) 擁有物；行李
beneficial,(adj.) 有利的
benefit,(n.) (v.) 利益，好處；優勢
board,(n.) 董事會，理事會，委員會；薄木板
bonus,(n.) 獎金；花紅；紅利；津貼；額外的好處
capability,(n.) 能力；才幹；水準
capable,(adj.) 有能力的；熟練的；能幹的
caution,(n.) (v.) 謹慎，小心，慎重
circumstance,(n.) 條件；情況；情形；行勢；境況
collaborate,(v.) 合作；協作
collaboration,(n.) 合作；協作
combination,(n.) 混合；結合；綜合
combine,(v.) 結合；聯合；合併
committee,(n.) （代表較大的組織決策或搜集資訊的）委員會
compete,(v.) 競爭
competition,(n.) 比賽
competitive,(adj.) 競爭的；競賽的
competitor,(n.) 競爭者；參賽者
component,(n.) 組成部分；成分；零件
comprehensive,(adj.)廣泛的；包羅萬象的
comprehensively,(adv.)廣泛地
compromise,(v.) 妥協；折衷；讓步；和解
concede,(v.) 承認；（不情願地）讓步，答應給，讓與
concession,(n.) 認可，讓步，妥協
consolidate,(v.) (使) 鞏固；（使）加強；（尤指企業）合併，聯合
consoliddation,(n.) 鞏固；加強；（尤指企業）合併，聯合
constructive,(adj.) 建設性的；有益的；有用的；積極的
contribute,(v.) 貢獻，奉獻，捐獻（尤指錢）
contribution,(n.) 貢獻；捐助
contributor,(n.) 捐獻者；捐款者
cooperate,(v.) 合作，協作；配合
cooperation,(n.) 合作，協作；配合
coordinate,(v.) 協調；使相配合；調節
coordination,(n.) 協調，調節
coordinator,(n.) 協調人，統籌者
corporate,(adj.) （大）公司的
corporation,(n.) 大公司；集團公司
depreciate,(v.) 貶值；折舊
depreciation,(n.) 折舊
describe,(v.) 描述，描寫，描繪
description,(n.) 描述，描寫，描繪
downsize,(v.) （使）減員，（使）瘦身
element,(n.) 部分；部件；要素
eligibility,(n.) 具備條件的；有資格的；合格的
eligible,(adj.) 有資格的；適合的
enhance,(v.) 提高；增加；增強；增進
enlarge,(v.) 增大；（使）擴大；（使）擴充
enterprise,(n.) 組織；（尤指）公司，企業
entrepreneur,(n.) 企業家，創業者
equal,(adj.) （數量、大小）相同的，相等的；（地位、待遇）平等的，同等的；（能力、勇氣）勝任的，合適的equation,(n.) 相等；等同；等式
equivalent,(adj.) 等值的；相等的；等同的
essence,(n.) 本質；實質；要素；極其重要；必不可少
essential,(adj.) 必要的，必不可少的（n.）必需品；不可缺少的東西
establish,(v.) 建立；設立；創立
expand,(v.) 擴張
expansion,(n.) 擴張；擴大
expansive,(n.) 廣闊的
expect,(v.) 預料，預計；期待
expectation,(n.) 期盼；盼望；希望
expert,(n.) 專家；內行；行家
expertise,(n.) 專門知識
explicit,(adj.) 詳盡的；清楚的；明確的
extend,(v.) 延伸；持續，延續；擴大；延長
extension,(n.) 伸展；延伸；擴建部分；電話分機
extra,(n.) 另外付費就可額外得到的東西 （adj.）額外的；附加的
firm,(n.) 公司；商號
focus［on］,(v.)(使)集中目光；（使）逐漸聚焦
format,(n.) 模式；計畫；安排
foundation,(n.) 基金會
franchise,(n.) 特許經銷權
function,(n.) 功能
fund,(n.) 基金；專款；資金(v.)
implicit,(adj.) 含蓄的，不直接言明的，暗示性的
institute,(n.) 協會；學院
institution,(n.) 機構
insurance,(n.) 保險
leadership,(n.) 領導素質，領導能力
license,(n.) 許可，授權，特許
local,(adj.) 當地的，本地的(n.)
locate,(v.) 位於/在附近/坐落在...等
merge,(v.) （使）合併；（使）融合
merger,(n.) （公司、企業等的）合併
minor,(adj.) 較不重要的；次要的；輕微的
notice,(n.) 公告，通知，貼示；注意；察覺（v.）看到；注意到；感覺到；通知
off-site,(adv.) 工作場地外的；在外地的；外出中的
organization,(n.) 組織；機構
organize,(v.) 組織；安排；規劃
persuade,(v.) 勸服；說服
possess,(v.) 擁有；具有
possession,(n.) 擁有；具有；所有物，個人物品；財產
potential,(adj.) 潛在的，可能的（n.）潛力，潛能
precaution,(n.) 預防，預防措施
precautionary,(adj.) 預防的，預防措施的
prerequisite,(adj.) 不可缺的；事先需要的；必修的（n.）先決條件，前提，必備條件
prioritize,(v.) 確定（事項的）優先次序
priority,(n.) 優先考慮的事
procedure,(n.) 程序；手續；步驟
proceed,(v.) 繼續進行，繼續做；～to do sth (做完某事後)接著做
process,(v.) 過程；步驟（n.）處理；辦理
progress,(v.) 進步，進展
progressive,(adj.)逐漸的；漸進的
property,(n.) 所有物；財產；資產
proportion,(n.) 部分；份額；比率，比例；相稱，協調，均衡，勻稱
proposal,(n.) 建議；計畫；提案
propose,(v.) 建議；提議；題出
proximity,(n.) 接近，鄰近；鄰近
pursue,(v.) 追求；追趕；追捕；追擊
pursuit,(n.) 追蹤；追擊
reinforce,(v.) 強化，加深，進一步證實（觀點、看法等）
relieve,(v.) 緩解，減輕，解除（疼痛或擔憂）；使寬心；使寬慰
remodel,(v.) 改變...的形狀（或外觀）；重新塑造
represent,(v.) 作為...的代表（或代理人）；作為...的代言人
representation,(n.) 作為...的代表（或代理人）；作為...的代言人
representaive,(n.) 代表；代理人
reputation,(n.) 名譽；聲望；名望
resolve,(v.) 解決；解除；消除
revenue,(n.)（政府的）稅收，歲入；（公司的）收益
rival,(n.) 競爭對手；敵手(v.)比得上
scheme=plan,(n.) 方案，計畫
situation,(n.) 處境，情況，形勢
slight,(adj.) 少量的，微小的
solution,(n.) 解決辦法；解決方案
specialist,(n.) 專家；專業人員
specialize,(v.) 專門研究，專攻；專門從事
specialty,(n.) 專業；專長
tactics,(n.) 策略，手法
takeover,(n.) 接任；接管，接手
template,(n.) 樣板，範本
temporary,(adj.) 短暫的；暫時的，臨時的(n.)臨時工，臨時雇員
tentative,(adj.) 試驗（性）的，試探（性）的，暫時的
translate,(v.) 譯，翻譯；轉化（尤指將計劃變為現實）
